recipe_urls,recipe_name,ingredients,ingredients_parsed
https://www.jamieoliver.com/recipes/chicken-recipes/spring-poached-chicken/,Spring poached chicken,"['2 kg higher-welfare chicken', '1 handful fresh flat-leaf parsley', '4 fresh bay leaves', 'sea salt', 'freshly ground black pepper', '2 handfuls new potatoes , scrubbed', '2 handfuls baby carrots', '2 handfuls baby turnips or radishes', '1 bulb fennel , quartered, herby tops removed and reserved', 'horseradish , freshly grated', '1 jar hot creamed horseradish , optional', '285 ml crème fraîche', '2 handfuls fresh peas', '2 handfuls broad beans', '1 colanderful spinach or Swiss chard', 'olive oil', '1 small handful inner celery leaves']",bay bean broad carrot celery chard chicken colanderful creamed creme flatleaf fraiche herby higherwelfare horseradish horseradish inner pea potato radish reserved scrubbed spinach swiss top turnip
https://www.jamieoliver.com/recipes/vegetables-recipes/spring-minestrone/,Spring minestrone,"['6 heaped tablespoons fresh pesto', '1.5 litres organic chicken, ham or vegetable stock', '1 bulb fennel', '100 g fine asparagus', '2 Romanesco cauliflowers , or 1 large cauliflower', '6 baby courgettes', '6 ripe plum tomatoes', 'olive oil', '2 cloves garlic', '1 bunch of spring onions', '200 g green and yellow beans', '100 g peas', '100 g broad beans', '100 g spaghetti', '½ a bunch of fresh green or purple basil', '1 small handful of fresh chives', 'extra virgin olive oil']",asparagus basil bean bean broad cauliflower cauliflower chicken chive courgette garlic ham onion pea pesto plum purple romanesco spaghetti stock tomato vegetable
https://www.jamieoliver.com/recipes/rice-recipes/spicy-pangrattato-risotto/,Spicy pangrattato risotto,"['1 lemon , zest of', ""3 dried bird's-eye chillies"", '4 cloves garlic , peeled', '6 good-quality salted anchovy fillets in oil', '½ large loaf ciabatta , stale if possible, cut into chunks', 'olive oil', '1 x Tap For Method']",birdseye ciabatta fillet garlic goodquality lemon method possible salted stale tap
https://www.jamieoliver.com/recipes/lamb-recipes/spicy-lamb-cutlets-with-crispy-coriander-potatoes/,Spicy lamb cutlets with crispy coriander potatoes,"['8 quality lamb cutlets', '4 tablespoons olive oil , plus extra for the lamb', 'sea salt', '1 tablespoon freshly ground black pepper', '1 dried chilli , finely sliced', '1 small handful fresh thyme leaves', '1 kg waxy red potatoes', '2 tablespoons coriander seeds', '½ teaspoon ground cinnamon', '1 small glass red wine', '1 large cabbage , shredded', '1 lemon , juice of', 'extra virgin olive oil']",cabbage cutlet glass lamb lamb lemon potato waxy wine
https://www.jamieoliver.com/recipes/lamb-recipes/spicy-barbecued-leg-of-lamb/,Spicy barbecued leg of lamb,"['3 sticks lemon grass', '5 cm piece fresh root ginger , peeled and chopped', '5 cloves garlic , peeled and chopped', '6 lime leaves', '1 good pinch ground cumin', '1 lemon , zest and juice of', 'sea salt', 'freshly ground black pepper', '1 quality leg of lamb , boned and butterflied', 'a few sprigs fresh mint , leaves picked and finely chopped', 'fat-free natural yoghurt', '1 lemon', 'rocket , to serve']",boned butterflied chopped chopped chopped cumin fatfree garlic ginger grass lamb lemon lemon lemon lime mint yoghurt
https://www.jamieoliver.com/recipes/lamb-recipes/spiced-lamb-stew-with-walnuts-and-pomegranate/,Spiced lamb stew with walnuts and pomegranate,"['750 g quality roasting shoulder joint of lamb , boneless', '2 tablespoons plain flour', 'sea salt', 'freshly ground black pepper', 'olive oil', '1 red onion , peeled and finely sliced', '4 sticks celery , trimmed and finely sliced', '4 cloves garlic , peeled and finely sliced', '½ stick cinnamon', '100 g walnuts , chopped', '2 bay leaves', '6 pomegranates', '1 bunch fresh flat-leaf parsley']",bay celery chopped flatleaf flour garlic joint lamb onion pomegranate roasting walnut
https://www.jamieoliver.com/recipes/chicken-recipes/special-chicken-stew/,Special chicken stew,"['salt', 'freshly ground black pepper', '4 higher-welfare spring chickens or poussins', '1 small handful fresh parsley , leaves picked, stalks kept', '1 bunch fresh tarragon , leaves picked, stalks kept', '4 teaspoons wholegrain mustard', '2 heaped tablespoons plain white flour', 'extra virgin olive oil', '1 white onion , peeled and finely chopped', '2 cloves garlic , peeled and finely sliced', '½ heart celery , trimmed back and finely sliced', '2 good knobs butter', '2 wineglasses crisp white wine', '565 ml organic stock', '3 gem lettuces , quartered', '1 small bunch seedless grapes , washed and halved']",back butter celery chicken chopped crisp flour garlic gem grape heart higherwelfare kept kept lettuce mustard onion poussin seedless stock tarragon wholegrain wine wineglass
https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-with-prawns-and-rocket-spaghetti-con-gamberetti-e-rucola/,Spaghetti with prawns and rocket (Spaghetti con gamberetti e rucola),"['455 g dried spaghetti', '2 cloves garlic', 'extra virgin olive oil', '1-2 dried red chillies', '400 g peeled raw prawns , from sustainable sources, ask your fishmonger', '1 small wineglass white wine', '2 heaped tablespoons sun-dried tomato purée , or 6 sun-dried tomatoes blitzed in a blender', '1 lemon', '2 handfuls of rocket']",blender blitzed garlic lemon prawn puree spaghetti sundried sundried tomato tomato wine wineglass
https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-vongole/,Spaghetti vongole,"['1 kg small clams , from sustainable sources, ask your fishmonger, scrubbed clean', '½ a bunch fresh flat-leaf parsley (15g)', '4 cloves garlic', '10 cherry tomatoes', '250 ml white wine', '400 g dried spaghetti', 'extra virgin olive oil', '1-2 dried red chillies']",clam clean flatleaf garlic scrubbed spaghetti tomato wine
https://www.jamieoliver.com/recipes/pork-recipes/souvlaki-wicked-kebabs/,Souvlaki (Wicked kebabs),"['3 sweet pointed peppers', '8 flatbreads , to serve', '4 sprigs fresh mint , leaves picked', '1 small bunch fresh dill , chopped (stalks and all)', 'red wine vinegar', 'Greek extra virgin olive oil', '1 lemon , to serve', 'For the kebabs', '800 g higher-welfare leg of pork , shin if you can get it, cut into 2cm chunks', '1 tablespoon dried mint', '1 tablespoon dried oregano', '1 lemon , juice of', '100 ml good-quality olive oil', '2 cloves garlic , peeled and finely grated', '1 tablespoon red wine vinegar', 'For the tzatziki', '½ large cucumber', '200 ml fat-free natural yoghurt', '1 small clove garlic , peeled', '1 heaped teaspoon dried mint', '1½ teaspoons red wine vinegar']",chopped cucumber fatfree flatbread garlic garlic get goodquality greek higherwelfare it kebab lemon lemon mint mint mint pointed pork shin tzatziki wine wine wine yoghurt you
https://www.jamieoliver.com/recipes/pork-recipes/southern-style-pork-slaw/,Southern-style pork & slaw,"['PORK', '½ higher-welfare pork shoulder , neck end with bone in (5kg)', 'olive oil', '2 heaped teaspoons smoked paprika , plus extra for sprinkling', '½ a bunch of fresh mint', '1-2 fresh red chillies', '6 tablespoons olive oil', '3 tablespoons red wine vinegar', 'COLLARD GREENS & APPLE SLAW', '½ a white cabbage', '1 red onion', '3 carrots', '2 big handfuls collard greens or spring cabbage', '3 crunchy eating apples', '2 tablespoons free-range mayonnaise', 'extra virgin olive oil', 'cayenne pepper', '4-5 tablespoons red wine vinegar']",apple apple cabbage cabbage carrot collard collard crunchy eating end freerange higherwelfare mayonnaise mint neck onion pork pork slaw sprinkling wine wine
https://www.jamieoliver.com/recipes/pork-recipes/southern-sausage-stew/,Southern sausage stew,"['olive oil', '12-18 quality sausages', '1 onion , peeled and roughly chopped', '1 red pepper , deseeded and roughly chopped', '1 green pepper , deseeded and roughly chopped', '1 yellow pepper , deseeded and roughly chopped', '2 sticks celery , trimmed and roughly chopped, yellow leaves reserved', '4 cloves garlic , peeled and chopped', '1-2 fresh red chillies , deseeded and finely chopped', '10 sprigs fresh thyme , leaves picked', '1 heaped teaspoon paprika', '1 heaped teaspoon cayenne pepper', '2-3 heaped tablespoons plain flour', '1 tablespoon white wine or cider vinegar', '750 ml organic chicken stock', '400 g tinned chopped tomatoes', 'long-grain rice , cooked, to serve', '3 spring onions , trimmed and finely sliced', '1 small bunch fresh curly parsley , roughly chopped']",celery chicken chopped chopped chopped chopped chopped chopped chopped chopped chopped curly flour garlic longgrain onion onion reserved rice sausage stock tomato wine
https://www.jamieoliver.com/recipes/vegetables-recipes/southern-indian-vegetable-curry-with-curry-leaves/,Southern Indian vegetable curry,"['2 fresh green chillies', '2 onions', 'olive oil', '1 teaspoon mustard seeds', '1 bunch of curry leaves', '½ teaspoon ground coriander', '1 pinch of ground cumin', '½ teaspoon garam masala', '¼ teaspoon ground turmeric', '¼ teaspoon chilli powder', '6 ripe tomatoes', '2 sweet potatoes', '2 potatoes', '1 aubergine', '100 ml coconut milk', '1 handful of okra', '1 handful of French beans', '1 handful of peas']",aubergine bean coconut cumin curry masala milk mustard okra onion pea potato potato tomato
https://www.jamieoliver.com/recipes/fish-recipes/southern-indian-rice-and-seafood-soup/,Southern Indian rice and seafood soup,"['5 tablespoons vegetable or sunflower oil', '3 tablespoons brown mustard seeds', '1 handful fresh curry leaves , picked off their stalks', '2 teaspoons cumin seeds', '1 teaspoon garam masala', '1½ teaspoons chilli powder', '2 teaspoons turmeric', '3 red chillies , deseeded and finely sliced', '2 large thumb-sized pieces fresh ginger , peeled and grated', '6 cloves garlic , peeled and finely chopped', '2 onions , peeled and finely chopped', '2 handfuls basmati rice', '565 ml water', '600 g fish , from sustainable sources, ask your fishmonger, skinned, filleted and cut into 2-3 inch chunks', '400 ml light coconut milk', 'sea salt', 'freshly ground black pepper', '2 limes , juice of', '1 handful fresh coriander , roughly chopped', '3 tablespoons freshly grated coconut']",chopped chopped chopped coconut coconut cumin curry filleted fish garlic ginger lime masala milk mustard off onion rice skinned sunflower their thumbsized vegetable
https://www.jamieoliver.com/recipes/fish-recipes/south-american-fishcakes/,South American fishcakes,"['1 kg potatoes', '1 kg haddock fillets , skin on, scaled and pinboned, ask your fishmonger, from sustainable sources', '140 ml milk', '2 bay leaves', '1 big bunch of fresh flat-leaf parsley', '1 handful of fresh mint', '1 fresh red chilli', '1 teaspoon fennel seeds', '2 lemons , plus extra to serve', '2 limes', '2 large free-range eggs', '115 g plain flour', 'sunflower oil , for deep-frying']",bay deepfrying egg fillet flatleaf flour freerange haddock lemon lime milk mint pinboned potato scaled sunflower
https://www.jamieoliver.com/recipes/pork-recipes/slow-roasted-spiced-pork-loin-with-black-eyed-beans-and-tomatoes/,Slow-roasted spiced pork loin with black-eyed beans and tomatoes,"['2 kg higher-welfare rib-end loin of pork , skin on, French-trimmed', 'sea salt', 'freshly ground black pepper', '5 teaspoons smoked paprika', '1 lemon , juice of', 'olive oil', '3 red onions , finely sliced', '6-8 fresh red, yellow and green chillies', '120 g small whole iberico chorizo sausages , thickly sliced', '6 bay leaves', '2 sprigs fresh rosemary , finely chopped', '3 x 400 g good-quality tinned plum tomatoes , roughly chopped', '2 handfuls fresh ripe tomatoes , halved', '4 x 410 g tinned black-eyed beans , drained', '5 cloves garlic , peeled and finely chopped', '1 handful fresh flat-leaf parsley , chopped', 'red wine vinegar', 'soured cream , to serve']",bay bean blackeyed chopped chopped chopped chopped chorizo cream flatleaf frenchtrimmed garlic goodquality higherwelfare iberico lemon loin onion plum pork ribend sausage soured thickly tomato tomato wine
https://www.jamieoliver.com/recipes/lamb-recipes/slow-cooked-shoulder-of-lamb-with-roasted-vegetables/,Slow-cooked shoulder of lamb,"['2 red onions', '1 whole bulb garlic', '3 carrots', '2 sticks of celery', '1 large leek or 2-3 baby leeks', '1 handful ripe tomatoes', 'olive oil', '1 small lamb shoulder , bone in (2.25kg)', '½ a bunch of fresh rosemary', '2 fresh bay leaves', '½ a bunch of fresh thyme', '2 x 400 g tins of plum tomatoes', '1 bottle of red wine']",bay carrot celery garlic lamb leek leek onion plum tomato tomato wine
